DepMap_ID,cell_line,COSMIC_ID,Biological_sex,Age,Lineage,Y_ploidy,X_ploidy,Genotype,Y-linked_genes,X-linked_genes,Chr_Y_gene_expression_PC1,Chr_X,Chr_1
ACH-001616,OCILY18_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NA,Male,56,lymphocyte,Y-,X,Male_X0,2.08E-09,0.57903019,4.553227283,NA,NA
ACH-001619,OCUG1_BILIARY_TRACT,NA,Male,43,bile_duct,Y-,X,Male_X0,0.006815771,0.794766884,2.735829554,NA,NA
ACH-001622,ONDA7_CENTRAL_NERVOUS_SYSTEM,NA,Male,51,central_nervous_system,Y+,X,Male_XY,0.837195053,0.728157219,-8.814220555,NA,NA
ACH-001623,ONDA8_CENTRAL_NERVOUS_SYSTEM,NA,Female,31,central_nervous_system,Y-,XX,Female_XXhet,4.65E-06,0.864364462,4.553227283,NA,NA
ACH-001624,ONDA9_CENTRAL_NERVOUS_SYSTEM,NA,Male,58,central_nervous_system,Y+,X,Male_XY,0.674531892,0.589208607,-6.807917397,NA,NA
ACH-001627,P4E6_PROSTATE,NA,Male,NA,prostate,Y-,X,Male_X0,1.64E-07,0.538545716,4.546138492,NA,NA
ACH-001628,PEA1_OVARY,NA,Female,NA,ovary,Y-,X,Female_X0,0.00025527,0.547430477,4.553227283,NA,NA
ACH-001630,PEO1_OVARY,1480372,Female,NA,ovary,Y-,X,Female_X0,2.15E-05,0.725578726,4.553227283,NA,NA
ACH-001634,PGA1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NA,Male,NA,blood,Y+,X,Male_XY,0.616927958,0.539548047,-7.542932234,NA,NA
ACH-001645,SEKI_SKIN,NA,Female,28,skin,Y-,X,Female_X0,5.39E-06,0.605071329,4.323738405,NA,NA
ACH-001647,SHI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NA,Male,37,blood,Y+,X,Male_XY,0.557122329,0.555645626,-8.076546017,NA,NA
ACH-001650,SISO_CERVIX,1240212,Female,67,cervix,Y-,XX,Female_XXhet,0.008633171,1.099468385,4.445888487,NA,NA
ACH-001651,SKGI_ENDOMETRIUM,NA,Female,NA,uterus,Y-,X,Female_X0,5.52E-06,0.718915904,4.553227283,NA,NA
ACH-001652,SKGII_ENDOMETRIUM,NA,Female,NA,uterus,Y-,X,Female_X0,1.45E-05,0.586756144,4.534917353,NA,NA
ACH-001653,SKGT2_STOMACH,1503364,Male,72,gastric,Y-,X,Male_X0,3.12E-06,0.767918322,4.553227283,NA,NA
ACH-001654,SKGT4_OESOPHAGUS,1503365,Male,NA,esophagus,Y-,X,Male_X0,6.60E-06,0.456028293,4.27000673,NA,NA
ACH-001655,SKN_ENDOMETRIUM,1240215,Female,52,uterus,Y-,X,Female_X0,1.39E-05,0.639106375,4.553227283,NA,NA
ACH-001656,SKNO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NA,Male,NA,blood,Y-,X,Male_X0,3.38E-05,0.55867996,4.293612913,NA,NA
ACH-001664,SNU638_STOMACH,NA,Male,48,gastric,NA,X,NA,0.359973179,0.524257147,-2.058713891,NA,NA
ACH-001668,SUSA_TESTIS,NA,Male,30,embryo,Y+,X,Male_XY,0.532326502,0.801319479,-6.091721083,NA,NA
ACH-001669,TANOUE_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NA,Male,11,blood,NA,X,NA,0.161986594,0.678099321,-3.444454529,NA,NA
ACH-001670,TASK1_CENTRAL_NERVOUS_SYSTEM,NA,Female,21,peripheral_nervous_system,Y-,XX,Female_XXhet,0.004738577,0.964569306,4.538343983,NA,NA
ACH-001673,TFK1_BILIARY_TRACT,NA,Male,63,bile_duct,Y+,X,Male_XY,0.698502152,0.393509521,-9.052206993,NA,NA
ACH-001674,TGW_AUTONOMIC_GANGLIA,910780,Male,NA,peripheral_nervous_system,Y-,X,Male_X0,0.000142256,0.654722835,4.553227283,NA,NA
ACH-001675,TR146_UPPER_AERODIGESTIVE_TRACT,NA,Female,NA,upper_aerodigestive,Y-,X,Female_X0,0.008909417,0.71016922,NA,NA,NA
